id,city,time,content,reply_content,handler,status,url
98801,Da Nang,19:12 04/05/2026,"Từ trước Tết đến nay, tại trụ điện trước nhà số 02 đường Nguyễn Hàng, tổ dân phố 61, Phường Cẩm Lệ, có 1 bóng đèn đường không sáng. Ở vị trí này là ngã 3 giao nhau giữa kiệt 298 và đường Nguyễn Hàng nơi có lưu lượng xe qua lại đông. Đề nghị cơ quan chức năng kiểm tra, xử lý.",Sở Xây dựng đang tiếp nhận và xử lý,,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98801
98795,Da Nang,17:50 04/05/2026,Tại góc đường Nguyễn Văn Thoại và Mỹ Khê 4 biển cấm đỗ xe bị gãy. Đề nghị cơ quan quản lý khắc phục sửa chữa.,Sở Xây dựng đang tiếp nhận và xử lý,,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98795
98356,Da Nang,14:05 28/04/2026,"Hiên nay, tại khu vực gia đình quân nhân của Ban chỉ huy quân sự thành phố Đà Nẵng, kiệt 245 Âu Cơ đi vào. Tuyến đường 5,5 mét và 7,5 mét vẫn chưa có đèn đường, gây khó khăn trong việc đi lại, không đảm bảo an ninh vào buổi tối. Kính đề nghị thành phố quan tâm./.","Theo nội dung góp ý của công dân, UBND phường Liên Chiểu đã giao phòng Kinh tế, Hạ tầng và Đô thị phường kiểm tra, xử lý. Nay, UBND phường phản hồi như sau: Nội dung đầu tư hệ thống điện chiếu sáng khu vực dân cư tại kiệt 245 Âu Cơ (khu gia đình quân nhân) đã được UBND phường Liên Chiểu rà soát, đưa vào danh mục phê duyệt dự án để triển khai thực hiện trong năm 2026 (Quyết định số 653/QĐ-UBND ngày 24/4/2026 của UBND phường về phê duyệt dự án điện chiếu sáng khu dân cư phường Liên Chiểu). Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND Phường Liên Chiểu,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98356
98160,Da Nang,19:07 26/04/2026,"Trước nhà thuốc 386 tại địa chỉ 386 Nguyễn Lương Bằng, phường Liên Chiểu để các cục đá trên vỉa hè gây mất mỹ quan và dễ gây tai nạn cho người đi bộ, cản trở người đi bộ. Kính đề nghị cơ quan chức năng kiểm tra và xử lý./.","Theo nội dung góp ý của công dân, UBND phường Liên Chiểu đã giao Trung tâm cung ứng dịch vụ sự nghiệp công phường kiểm tra, xử lý. Nay, UBND phường phản hồi như sau: Trung tâm cung ứng dịch vụ sự nghiệp công đã chỉ đạo lực lượng tiến hành kiểm tra thực tế, đồng thời đã tổ chức di dời các cục đá trên vỉa hè gây mất mỹ đô thị theo đúng quy định. (Đính kèm hình ảnh) Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND Phường Liên Chiểu,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98160
98133,Da Nang,14:40 26/04/2026,"Tại ngã ba Cẩm Lý giao giữa đường ĐT609 và ĐT605, xã Điện Bàn Tây tình trạng kẹt xe thường xuyên xảy ra tại đây, do đèn đếm giây hướng từ Đà Nẵng - Quảng Nam (cũ) chỉ có 25 giây nhưng lưu lượng xe lưu thông tại đây rất đông, tôi thấy như vậy là không phù hợp. Kính đề nghị cơ quan chức năng điều chỉnh lại số đếm giây để phù hợp, đảm bảo lưu thông không xảy ra tình trạng kẹt xe tại đây. Xin cảm ơn.","Theo nội dung góp ý của công dân, Phòng Cảnh sát Giao thông - CATP Đà Nẵng phản hồi như sau: - Phòng Cảnh sát giao thông trân trọng cảm ơn và ghi nhận ý kiến phản ánh, đóng góp của công dân. Lãnh đạo Phòng đã chỉ đạo Trạm Cảnh sát giao thông (CSGT) Thăng Bình tiến hành khảo sát nút giao thông. Tổ chức giao thông tại giao lộ đường ĐT609 và đường ĐT605 là đường hai chiều, được phân chia thành 2 làn đường riêng biệt; khảo sát thực tế, đèn tín hiệu hướng Đông – Tây đường ĐT609 đang hoạt động theo chu kỳ: đèn đỏ 34 giây, đèn xanh 25 giây; đường ĐT605 hoạt động theo chu kỳ: đèn đỏ 29 giây, đèn xanh 30 giây. - Qua khảo sát vào các khung giờ khác nhau trong ngày thì mật độ phương tiện và lưu lượng phương tiện tham gia giao thông có sự thay đổi và không đồng nhất tại nút giao lộ trên; vào các khung giờ cao điểm như 09h00 đến 10h00, 16h00 đến 17h00 các ngày đầu, cuối kỳ nghỉ lễ thì có mật độ phương tiện và lưu lượng tham gia giao thông tăng, có thời điểm ùn tắc cục bộ; ngoài các khung giờ cao điểm trên vào các kỳ nghỉ lễ, thì mật độ và lưu lượng phương tiện hàng ngày đi trên tuyến đường này thấp, đảm bảo an toàn, không có ùn ứ. - Phòng CSGT - CATP Đà Nẵng tiếp thu ý kiến góp ý; tiếp tục khảo sát, đánh giá thực trạng giao thông của nút giao thông và đề xuất các phương án, giải pháp điều chỉnh thời gian của tín hiệu đèn tại nút giao lộ đường ĐT609 và đường ĐT605, xã Điện Bàn Tây, TP. Đà Nẵng để đảm bảo hoạt động tham gia giao thông đảm bảo an toàn, thông suốt. Vậy, Phòng CSGT - CATP Đà Nẵng kính phản hồi thông tin đến công dân được biết. Trân trọng!",Công an Thành phố,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98133
98106,Da Nang,20:12 25/04/2026,"Đèn đường tại cột số 38 LVH, đường An Bắc 4, phường Ngũ Hành Sơn bị cháy bóng mấy tháng nay. Kính đề nghị cơ quan chức năng kiểm tra và xử lý.",Sở Xây dựng đang tiếp nhận và xử lý,,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98106
98091,Da Nang,14:21 25/04/2026,"Tại cơ sở Bánh mì Ba Duy, số 437 Núi Thành, phường Hòa Cường, có tình trạng khoan, đóng bục xuống lòng vỉa hè. Việc này làm ảnh hưởng mỹ quan đô thị và cản trở lối đi của người dân. Đặc biệt quy định hiện tại đã không cho sử dụng vỉa hè để kinh doanh buôn bán. Kính đề nghị cơ quan chức năng kiểm tra, xử lý và yêu cầu khôi phục lại hiện trạng vỉa hè, đảm bảo đúng quy định./.","Theo nội dung góp ý của công dân, UBND phường Hòa Cường đã giao Phòng Kinh tế, Hạ tầng và Đô thị phường kiểm tra, xử lý. Nay, UBND phường phản hồi như sau: Phòng Kinh tế, Hạ tầng và Đô thị phường đã tiến hành nhắc nhở cơ sở kinh doanh chấp hành nghiêm các quy định về quản lý, sử dụng vỉa hè; yêu cầu không tự ý lắp đặt, khoan đóng các vật dụng xuống vỉa hè, đồng thời khẩn trương tháo dỡ, khôi phục lại hiện trạng ban đầu, bảo đảm mỹ quan đô thị và lối đi dành cho người đi bộ. Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",UBND Phường Hòa Cường,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98091
98026,Da Nang,21:09 24/04/2026,"Cống thoát nước thải phía sau An Thương 30 và Đỗ Bá không thoát được gây hôi thối không chịu được, đã phản ánh nhiều lần vẫn chưa giải quyết. Mong thành phố sớm giải quyết sớm cho người dân được nhờ.","Theo nội dung phản ánh của công dân, UBND phường Ngũ Hành Sơn đã giao Phòng Kinh tế, Hạ tầng và Đô thị phường kiểm tra xử lý. Nay, UBND phường phản hồi như sau: Hiện nay Đường cống thoát nước sinh hoạt phía sau nhà khu vực Đỗ Bá và An Thượng 30 nằm trong hạng mục nạo vét cống năm 2026 và sẽ tiến hành nạo vét trong tháng 6 năm 2026. Vậy, UBND phường kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!","Trung tâm Thông tin và Giám sát, điều hành thông minh",Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98026
98010,Da Nang,17:14 24/04/2026,Khu vực dưới đầu cầu Rồng có một cọc sắt nhô lên khoảng 20cm (hình ảnh kèm theo). Tuy đây không thuộc khu vực đi bộ nhưng vào các đêm trình diễn phun lửa và nước cũng có nhiều du khách tập trung cũng khá nguy hiểm nếu vấp té ngã. Đề nghị Ban quản lý cầu có thể xử lý loại bỏ hoặc có biện pháp che chắn cho an toàn.,"Sở Xây dựng cảm ơn ý kiến góp ý của công dân và thông tin như sau: Qua kiểm tra, cọc sắt khu vực dưới đầu cầu Rồng nêu trên là ống nước dùng để tưới cây xanh, nằm trên dải phân cách giữa cầu thuộc khu vực hạn chế người dân đi lại nhằm đảm bảo an toàn trong quá trình trình diễn ra phun lửa, phun nước. Sở Xây dựng đã đề nghị đơn vị quản lý tiến hành kiểm tra và xử lý hạ cao độ cọc sắt, lắp đặt nắp đậy (hình ảnh chi tiết kèm). Vậy, Sở Xây dựng thông tin để công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",Sở Xây dựng Sở Xây dựng cảm ơn ý kiến góp ý của công dân và thông tin như sau:,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98010
97975,Da Nang,11:43 24/04/2026,"Vỉa hè hư hỏng tại 14 Trần Đại Nghĩa, phường Ngũ Hành Sơn. Mong cơ quan chức năng kiểm tra và sữa chửa. Tôi xin chân thành cảm ơn./.","Theo nội dung góp ý của công dân, Sở Xây dựng đã giao Công ty Cổ phần Cầu đường kiểm tra, xử lý. Nay, Sở phản hồi như sau: Công ty CP Cầu đường đã tiếp nhận thông tin và hoàn thành việc sửa chữa khắc phục trong ngày 28/4/2026. Cảm ơn ý kiến góp ý của công dân. Trân trọng./.",Sở Xây dựng,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97975
97956,Da Nang,08:24 24/04/2026,"Qua quá trình thay trụ điện mới tại 12/7D vs 12/9 Nguyễn Hữu Thọ, Hoà Cường, các bên chức năng không trả lại hiện trạng ban đầu mà để dây điện và cáp mạng lòng thòng rối ren sà xuống trước khu vực nhà dân gây nguy hiểm và mất mỹ quan đô thị. Đề nghị xử lý trả lại hiện trạng an toàn và mỹ quan như ban đầu./.","Cảm ơn ý kiến góp ý, phản ánh của Anh/Chị. Sau khi nhận được ý kiến phản ánh, góp ý của Anh/Chị, Điện lực Đà Nẵng đã kiểm tra và xử lý (hình ảnh đính kèm) Trân trọng!","Điện lực Đà Nẵng Cảm ơn ý kiến góp ý, phản ánh của Anh/Chị.",Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97956
97942,Da Nang,07:45 24/04/2026,"Nắp hố ga trên vỉa hè 05 Lê Đức Thọ, phường Sơn Trà bị gãy, để lộ hố sâu và rộng 50cm ngay đường giành cho người đi bộ. Mặc dù người dân đã dùng cây che để cảnh báo, nhưng đã có người bị sụp hố. Kính báo cơ quan chức năng kiểm tra xử lý sớm./.","Theo nội dung góp ý của công dân, Sở Xây dựng phản hồi như sau: Công ty Thoát nước và Xử lý nước thải đã kiểm tra hiện trường và hoàn thành khắc phục kiến nghị, hình ảnh kèm theo. Vậy, kính phản hồi thông tin đến công dân được biết. Trân trọng cảm ơn ý kiến đóng góp của công dân!",Sở Xây dựng,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97942
97928,Da Nang,22:31 23/04/2026,"Đoạn đường ngã tư Nguyễn Dục - Nguyễn Duy Cung, phường Ngũ Hành Sơn vào ban đêm sau 22h00 không có điện đường rất nguy hiểm. Đã xảy ra tai nạn vào đây vào ban đêm. Kính mong cơ quan chức năng xem xét mở một bóng đèn đường vào giờ khuya tại khu vực này.",Sở Xây dựng đang tiếp nhận và xử lý,,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97928
