id,city,time,content,clean_content,compound_content,ml_text,handler,status,url,label,priority
98801,Da Nang,4/5/2026 19:12,"Từ trước Tết đến nay, tại trụ điện trước nhà số 02 đường Nguyễn Hàng, tổ dân phố 61, Phường Cẩm Lệ, có 1 bóng đèn đường không sáng. Ở vị trí này là ngã 3 giao nhau giữa kiệt 298 và đường Nguyễn Hàng nơi có lưu lượng xe qua lại đông. Đề nghị cơ quan chức năng kiểm tra, xử lý.","Từ trước Tết đến nay, tại trụ điện trước nhà số 02 đường Nguyễn Hàng, tổ dân phố 61, Phường Cẩm Lệ, có 1 bóng đèn đường không sáng. Ở vị trí này là ngã 3 giao nhau giữa kiệt 298 và đường Nguyễn Hàng nơi có lưu lượng xe qua lại đông. Đề nghị cơ quan chức năng kiểm tra, xử lý.","Từ trước Tết_đến nay , tại trụ điện trước nhà số 02 đường Nguyễn_Hàng , tổ dân_phố 61 , Phường_Cẩm_Lệ , có 1 bóng đèn_đường không sáng . Ở vị_trí này là ngã 3 giao nhau giữa kiệt 298 và đường Nguyễn_Hàng nơi có lưu_lượng xe qua_lại đông . Đề_nghị cơ_quan_chức_năng kiểm_tra , xử_lý .","từ trước tết_đến nay , tại trụ điện trước nhà số 02 đường nguyễn_hàng , tổ dân_phố 61 , phường_cẩm_lệ , có 1 bóng đèn_đường không sáng . ở vị_trí này là ngã 3 giao nhau giữa kiệt 298 và đường nguyễn_hàng nơi có lưu_lượng xe qua_lại đông . đề_nghị cơ_quan_chức_năng kiểm_tra , xử_lý .",,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98801,dien_luc_chieu_sang,thap
98795,Da Nang,4/5/2026 17:50,Tại góc đường Nguyễn Văn Thoại và Mỹ Khê 4 biển cấm đỗ xe bị gãy. Đề nghị cơ quan quản lý khắc phục sửa chữa.,Tại góc đường Nguyễn Văn Thoại và Mỹ Khê 4 biển cấm đỗ xe bị gãy. Đề nghị cơ quan quản lý khắc phục sửa chữa.,Tại góc đường Nguyễn_Văn_Thoại và Mỹ_Khê 4 biển cấm đỗ xe bị gãy . Đề_nghị cơ_quan quản_lý khắc_phục sửa_chữa .,tại góc đường nguyễn_văn_thoại và mỹ_khê 4 biển cấm đỗ xe bị gãy . đề_nghị cơ_quan quản_lý khắc_phục sửa_chữa .,,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98795,bien_bao,thap
98356,Da Nang,14:05 28/04/2026,"Hiên nay, tại khu vực gia đình quân nhân của Ban chỉ huy quân sự thành phố Đà Nẵng, kiệt 245 Âu Cơ đi vào. Tuyến đường 5,5 mét và 7,5 mét vẫn chưa có đèn đường, gây khó khăn trong việc đi lại, không đảm bảo an ninh vào buổi tối. Kính đề nghị thành phố quan tâm./.","Hiên nay, tại khu vực gia đình quân nhân của Ban chỉ huy quân sự thành phố Đà Nẵng, kiệt 245 Âu Cơ đi vào. Tuyến đường 5, 5 mét và 7, 5 mét vẫn chưa có đèn đường, gây khó khăn trong việc đi lại, không đảm bảo an ninh vào buổi tối. Kính đề nghị thành phố quan tâm. /.","Hiên nay , tại khu_vực gia_đình quân_nhân của Ban chỉ_huy quân_sự thành_phố Đà_Nẵng , kiệt 245 Âu_Cơ_đi vào . Tuyến_đường 5 , 5 mét và 7 , 5 mét vẫn chưa có đèn_đường , gây khó_khăn trong việc đi_lại , không đảm_bảo_an_ninh vào buổi tối . Kính_đề nghị thành_phố quan_tâm . / .","hiên nay , tại khu_vực gia_đình quân_nhân của ban chỉ_huy quân_sự thành_phố đà_nẵng , kiệt 245 âu_cơ_đi vào . tuyến_đường 5 , 5 mét và 7 , 5 mét vẫn chưa có đèn_đường , gây khó_khăn trong việc đi_lại , không đảm_bảo_an_ninh vào buổi tối . kính_đề nghị thành_phố quan_tâm . / .",UBND Phường Liên Chiểu,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98356,dien_luc_chieu_sang,thap
98160,Da Nang,19:07 26/04/2026,"Trước nhà thuốc 386 tại địa chỉ 386 Nguyễn Lương Bằng, phường Liên Chiểu để các cục đá trên vỉa hè gây mất mỹ quan và dễ gây tai nạn cho người đi bộ, cản trở người đi bộ. Kính đề nghị cơ quan chức năng kiểm tra và xử lý./.","Trước nhà thuốc 386 tại địa chỉ 386 Nguyễn Lương Bằng, phường Liên Chiểu để các cục đá trên vỉa hè gây mất mỹ quan và dễ gây tai nạn cho người đi bộ, cản trở người đi bộ. Kính đề nghị cơ quan chức năng kiểm tra và xử lý. /.","Trước nhà_thuốc 386 tại địa_chỉ 386 Nguyễn_Lương_Bằng , phường Liên_Chiểu_để các cục đá trên vỉa_hè gây mất mỹ_quan và dễ gây tai_nạn cho người đi bộ , cản_trở người đi bộ . Kính_đề nghị cơ_quan_chức_năng kiểm_tra và xử_lý . / .","trước nhà_thuốc 386 tại địa_chỉ 386 nguyễn_lương_bằng , phường liên_chiểu_để các cục đá trên vỉa_hè gây mất mỹ_quan và dễ gây tai_nạn cho người đi bộ , cản_trở người đi bộ . kính_đề nghị cơ_quan_chức_năng kiểm_tra và xử_lý . / .",UBND Phường Liên Chiểu,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98160,via_he_long_duong,cao
98133,Da Nang,14:40 26/04/2026,"Tại ngã ba Cẩm Lý giao giữa đường ĐT609 và ĐT605, xã Điện Bàn Tây tình trạng kẹt xe thường xuyên xảy ra tại đây, do đèn đếm giây hướng từ Đà Nẵng - Quảng Nam (cũ) chỉ có 25 giây nhưng lưu lượng xe lưu thông tại đây rất đông, tôi thấy như vậy là không phù hợp. Kính đề nghị cơ quan chức năng điều chỉnh lại số đếm giây để phù hợp, đảm bảo lưu thông không xảy ra tình trạng kẹt xe tại đây. Xin cảm ơn.","Tại ngã ba Cẩm Lý giao giữa đường ĐT609 và ĐT605, xã Điện Bàn Tây tình trạng kẹt xe thường xuyên xảy ra tại đây, do đèn đếm giây hướng từ Đà Nẵng - Quảng Nam (cũ) chỉ có 25 giây nhưng lưu lượng xe lưu thông tại đây rất đông, tôi thấy như vậy là không phù hợp. Kính đề nghị cơ quan chức năng điều chỉnh lại số đếm giây để phù hợp, đảm bảo lưu thông không xảy ra tình trạng kẹt xe tại đây. Xin cảm ơn.","Tại ngã ba Cẩm_Lý giao giữa đường ĐT609 và ĐT605 , xã Điện_Bàn_Tây tình_trạng kẹt xe thường_xuyên xảy ra tại đây , do đèn_đếm giây hướng từ Đà_Nẵng - Quảng_Nam ( cũ ) chỉ có 25 giây nhưng lưu_lượng xe lưu_thông tại đây rất đông , tôi thấy như_vậy là không phù_hợp . Kính_đề nghị cơ_quan_chức_năng điều_chỉnh lại số đếm giây để phù_hợp , đảm_bảo_lưu_thông không xảy ra tình_trạng kẹt xe tại đây . Xin cảm_ơn .","tại ngã ba cẩm_lý giao giữa đường đt609 và đt605 , xã điện_bàn_tây tình_trạng kẹt xe thường_xuyên xảy ra tại đây , do đèn_đếm giây hướng từ đà_nẵng - quảng_nam ( cũ ) chỉ có 25 giây nhưng lưu_lượng xe lưu_thông tại đây rất đông , tôi thấy như_vậy là không phù_hợp . kính_đề nghị cơ_quan_chức_năng điều_chỉnh lại số đếm giây để phù_hợp , đảm_bảo_lưu_thông không xảy ra tình_trạng kẹt xe tại đây . xin cảm_ơn .",Công an Thành phố,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98133,to_chuc_giao_thong,thap
98106,Da Nang,20:12 25/04/2026,"Đèn đường tại cột số 38 LVH, đường An Bắc 4, phường Ngũ Hành Sơn bị cháy bóng mấy tháng nay. Kính đề nghị cơ quan chức năng kiểm tra và xử lý.","Đèn đường tại cột số 38 LVH, đường An Bắc 4, phường Ngũ Hành Sơn bị cháy bóng mấy tháng nay. Kính đề nghị cơ quan chức năng kiểm tra và xử lý.","Đèn_đường tại cột_số 38 LVH , đường An_Bắc 4 , phường Ngũ_Hành_Sơn bị cháy bóng mấy tháng nay . Kính_đề nghị cơ_quan_chức_năng kiểm_tra và xử_lý .","đèn_đường tại cột_số 38 lvh , đường an_bắc 4 , phường ngũ_hành_sơn bị cháy bóng mấy tháng nay . kính_đề nghị cơ_quan_chức_năng kiểm_tra và xử_lý .",,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98106,dien_luc_chieu_sang,thap
98091,Da Nang,14:21 25/04/2026,"Tại cơ sở Bánh mì Ba Duy, số 437 Núi Thành, phường Hòa Cường, có tình trạng khoan, đóng bục xuống lòng vỉa hè. Việc này làm ảnh hưởng mỹ quan đô thị và cản trở lối đi của người dân. Đặc biệt quy định hiện tại đã không cho sử dụng vỉa hè để kinh doanh buôn bán. Kính đề nghị cơ quan chức năng kiểm tra, xử lý và yêu cầu khôi phục lại hiện trạng vỉa hè, đảm bảo đúng quy định./.","Tại cơ sở Bánh mì Ba Duy, số 437 Núi Thành, phường Hòa Cường, có tình trạng khoan, đóng bục xuống lòng vỉa hè. Việc này làm ảnh hưởng mỹ quan đô thị và cản trở lối đi của người dân. Đặc biệt quy định hiện tại đã không cho sử dụng vỉa hè để kinh doanh buôn bán. Kính đề nghị cơ quan chức năng kiểm tra, xử lý và yêu cầu khôi phục lại hiện trạng vỉa hè, đảm bảo đúng quy định. /.","Tại cơ_sở Bánh_mì Ba_Duy , số 437 Núi_Thành , phường Hòa_Cường , có tình_trạng khoan , đóng bục xuống lòng vỉa_hè . Việc này làm ảnh_hưởng mỹ_quan đô_thị và cản_trở_lối đi của người dân . Đặc_biệt quy_định hiện_tại đã không cho sử_dụng vỉa_hè để kinh_doanh buôn_bán . Kính_đề nghị cơ_quan_chức_năng kiểm_tra , xử_lý và yêu_cầu khôi_phục lại hiện_trạng vỉa_hè , đảm_bảo đúng quy_định . / .","tại cơ_sở bánh_mì ba_duy , số 437 núi_thành , phường hòa_cường , có tình_trạng khoan , đóng bục xuống lòng vỉa_hè . việc này làm ảnh_hưởng mỹ_quan đô_thị và cản_trở_lối đi của người dân . đặc_biệt quy_định hiện_tại đã không cho sử_dụng vỉa_hè để kinh_doanh buôn_bán . kính_đề nghị cơ_quan_chức_năng kiểm_tra , xử_lý và yêu_cầu khôi_phục lại hiện_trạng vỉa_hè , đảm_bảo đúng quy_định . / .",UBND Phường Hòa Cường,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98091,via_he_long_duong,trung_binh
98026,Da Nang,21:09 24/04/2026,"Cống thoát nước thải phía sau An Thương 30 và Đỗ Bá không thoát được gây hôi thối không chịu được, đã phản ánh nhiều lần vẫn chưa giải quyết. Mong thành phố sớm giải quyết sớm cho người dân được nhờ.","Cống thoát nước thải phía sau An Thương 30 và Đỗ Bá không thoát được gây hôi thối không chịu được, đã phản ánh nhiều lần vẫn chưa giải quyết. Mong thành phố sớm giải quyết sớm cho người dân được nhờ.","Cống thoát nước_thải phía sau An_Thương 30 và Đỗ_Bá không thoát được gây hôi_thối không chịu được , đã phản_ánh nhiều lần vẫn chưa giải_quyết . Mong thành_phố sớm giải_quyết sớm cho người dân được nhờ .","cống thoát nước_thải phía sau an_thương 30 và đỗ_bá không thoát được gây hôi_thối không chịu được , đã phản_ánh nhiều lần vẫn chưa giải_quyết . mong thành_phố sớm giải_quyết sớm cho người dân được nhờ .","Trung tâm Thông tin và Giám sát, điều hành thông minh",Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98026,cong_ho_ga_thoat_nuoc,thap
98010,Da Nang,17:14 24/04/2026,Khu vực dưới đầu cầu Rồng có một cọc sắt nhô lên khoảng 20cm (hình ảnh kèm theo). Tuy đây không thuộc khu vực đi bộ nhưng vào các đêm trình diễn phun lửa và nước cũng có nhiều du khách tập trung cũng khá nguy hiểm nếu vấp té ngã. Đề nghị Ban quản lý cầu có thể xử lý loại bỏ hoặc có biện pháp che chắn cho an toàn.,Khu vực dưới đầu cầu Rồng có một cọc sắt nhô lên khoảng 20cm (hình ảnh kèm theo). Tuy đây không thuộc khu vực đi bộ nhưng vào các đêm trình diễn phun lửa và nước cũng có nhiều du khách tập trung cũng khá nguy hiểm nếu vấp té ngã. Đề nghị Ban quản lý cầu có thể xử lý loại bỏ hoặc có biện pháp che chắn cho an toàn.,Khu_vực dưới đầu cầu Rồng có một cọc sắt nhô lên khoảng 20cm ( hình_ảnh kèm theo ) . Tuy_đây không thuộc khu_vực đi bộ nhưng vào các đêm trình_diễn phun lửa và nước cũng có nhiều du_khách tập_trung cũng khá nguy_hiểm nếu vấp té ngã . Đề_nghị Ban quản_lý cầu có_thể xử_lý loại_bỏ hoặc có biện_pháp che_chắn cho an_toàn .,khu_vực dưới đầu cầu rồng có một cọc sắt nhô lên khoảng 20cm ( hình_ảnh kèm theo ) . tuy_đây không thuộc khu_vực đi bộ nhưng vào các đêm trình_diễn phun lửa và nước cũng có nhiều du_khách tập_trung cũng khá nguy_hiểm nếu vấp té ngã . đề_nghị ban quản_lý cầu có_thể xử_lý loại_bỏ hoặc có biện_pháp che_chắn cho an_toàn .,Sở Xây dựng Sở Xây dựng cảm ơn ý kiến góp ý của công dân và thông tin như sau:,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=98010,duong_cau_ha_tang_hu_hong,cao
97975,Da Nang,11:43 24/04/2026,"Vỉa hè hư hỏng tại 14 Trần Đại Nghĩa, phường Ngũ Hành Sơn. Mong cơ quan chức năng kiểm tra và sữa chửa. Tôi xin chân thành cảm ơn./.","Vỉa hè hư hỏng tại 14 Trần Đại Nghĩa, phường Ngũ Hành Sơn. Mong cơ quan chức năng kiểm tra và sữa chửa. Tôi xin chân thành cảm ơn. /.","Vỉa_hè hư_hỏng tại 14 Trần_Đại_Nghĩa , phường Ngũ_Hành_Sơn . Mong cơ_quan_chức_năng kiểm_tra và sữa chửa . Tôi xin chân_thành cảm_ơn . / .","vỉa_hè hư_hỏng tại 14 trần_đại_nghĩa , phường ngũ_hành_sơn . mong cơ_quan_chức_năng kiểm_tra và sữa chửa . tôi xin chân_thành cảm_ơn . / .",Sở Xây dựng,Đang xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=97975,via_he_long_duong,trung_binh
