,precision,recall,f1-score,support
bien_bao,0.8421052631578947,1.0,0.9142857142857143,16.0
cay_xanh_vat_can,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
cong_ho_ga_thoat_nuoc,0.782608695652174,0.9,0.8372093023255814,20.0
den_tin_hieu,0.65,0.8125,0.7222222222222222,16.0
dien_luc_chieu_sang,0.8888888888888888,0.8,0.8421052631578947,20.0
do_xe_can_tro,0.7,0.875,0.7777777777777778,16.0
duong_cau_ha_tang_hu_hong,0.4827586206896552,0.7,0.5714285714285714,20.0
khac,0.0,0.0,0.0,6.0
rac_thai_ve_sinh_moi_truong,0.9090909090909091,0.625,0.7407407407407407,16.0
to_chuc_giao_thong,0.4444444444444444,0.25,0.32,16.0
via_he_long_duong,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
accuracy,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667
macro avg,0.6591197263628357,0.6703877005347594,0.6545593539678438,180.0
weighted avg,0.70095842682694,0.7166666666666667,0.6982211230427583,180.0
