,precision,recall,f1-score,support
bien_bao,0.6,0.5625,0.5806451612903226,16.0
cay_xanh_vat_can,0.25,0.058823529411764705,0.09523809523809523,17.0
cong_ho_ga_thoat_nuoc,0.4090909090909091,0.45,0.42857142857142855,20.0
den_tin_hieu,0.6875,0.6875,0.6875,16.0
dien_luc_chieu_sang,0.4090909090909091,0.9,0.5625,20.0
do_xe_can_tro,0.375,0.375,0.375,16.0
duong_cau_ha_tang_hu_hong,0.5,0.5,0.5,20.0
khac,0.0,0.0,0.0,6.0
rac_thai_ve_sinh_moi_truong,0.7692307692307693,0.625,0.6896551724137931,16.0
to_chuc_giao_thong,0.3125,0.3125,0.3125,16.0
via_he_long_duong,0.2857142857142857,0.23529411764705882,0.25806451612903225,17.0
accuracy,0.46111111111111114,0.46111111111111114,0.46111111111111114,0.46111111111111114
macro avg,0.4180115339206249,0.42787433155080207,0.4081522157856974,180.0
weighted avg,0.44099150849150853,0.46111111111111114,0.43417987946630887,180.0
