,precision,recall,f1-score,support
bien_bao,0.9230769230769231,0.75,0.8275862068965517,16.0
cay_xanh_vat_can,1.0,0.35294117647058826,0.5217391304347826,17.0
cong_ho_ga_thoat_nuoc,0.6538461538461539,0.85,0.7391304347826086,20.0
den_tin_hieu,0.8125,0.8125,0.8125,16.0
dien_luc_chieu_sang,0.782608695652174,0.9,0.8372093023255814,20.0
do_xe_can_tro,0.5416666666666666,0.8125,0.65,16.0
duong_cau_ha_tang_hu_hong,0.32558139534883723,0.7,0.4444444444444444,20.0
khac,0.0,0.0,0.0,6.0
rac_thai_ve_sinh_moi_truong,1.0,0.5625,0.72,16.0
to_chuc_giao_thong,0.625,0.3125,0.4166666666666667,16.0
via_he_long_duong,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
accuracy,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.6555555555555556
macro avg,0.6891769546597656,0.6090909090909091,0.6116269886550735,180.0
weighted avg,0.7236664203676337,0.6555555555555556,0.6500547030532968,180.0
