,precision,recall,f1-score,support
bien_bao,0.8888888888888888,1.0,0.9411764705882353,16.0
cay_xanh_vat_can,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0
cong_ho_ga_thoat_nuoc,0.7619047619047619,0.8,0.7804878048780488,20.0
den_tin_hieu,0.8125,0.8125,0.8125,16.0
dien_luc_chieu_sang,0.9047619047619048,0.95,0.926829268292683,20.0
do_xe_can_tro,0.5909090909090909,0.8125,0.6842105263157895,16.0
duong_cau_ha_tang_hu_hong,0.3870967741935484,0.6,0.47058823529411764,20.0
khac,0.0,0.0,0.0,6.0
rac_thai_ve_sinh_moi_truong,1.0,0.5625,0.72,16.0
to_chuc_giao_thong,0.42857142857142855,0.375,0.4,16.0
via_he_long_duong,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
accuracy,0.7055555555555556,0.7055555555555556,0.7055555555555556,0.7055555555555556
macro avg,0.6742130981069225,0.660494652406417,0.6547435327264294,180.0
weighted avg,0.7139903903344764,0.7055555555555556,0.6967381641574045,180.0
