,bien_bao,cay_xanh_vat_can,cong_ho_ga_thoat_nuoc,den_tin_hieu,dien_luc_chieu_sang,do_xe_can_tro,duong_cau_ha_tang_hu_hong,khac,rac_thai_ve_sinh_moi_truong,to_chuc_giao_thong,via_he_long_duong
bien_bao,9,0,0,0,0,3,3,0,0,0,1
cay_xanh_vat_can,1,1,3,1,10,0,0,0,0,0,1
cong_ho_ga_thoat_nuoc,0,1,9,0,6,0,0,0,0,0,4
den_tin_hieu,0,1,0,11,0,1,0,0,1,2,0
dien_luc_chieu_sang,0,0,0,1,18,1,0,0,0,0,0
do_xe_can_tro,2,0,0,1,0,6,1,0,1,5,0
duong_cau_ha_tang_hu_hong,0,0,2,0,1,2,10,0,0,2,3
khac,2,0,0,0,1,1,1,0,0,1,0
rac_thai_ve_sinh_moi_truong,0,0,3,1,1,0,1,0,10,0,0
to_chuc_giao_thong,1,0,0,1,6,1,1,0,0,5,1
via_he_long_duong,0,1,5,0,1,1,3,0,1,1,4
