,bien_bao,cay_xanh_vat_can,cong_ho_ga_thoat_nuoc,den_tin_hieu,dien_luc_chieu_sang,do_xe_can_tro,duong_cau_ha_tang_hu_hong,khac,rac_thai_ve_sinh_moi_truong,to_chuc_giao_thong,via_he_long_duong
bien_bao,16,0,0,0,0,0,0,0,0,0,0
cay_xanh_vat_can,0,9,0,1,1,2,3,0,0,0,1
cong_ho_ga_thoat_nuoc,0,0,16,0,1,0,3,0,0,0,0
den_tin_hieu,0,0,0,13,0,3,0,0,0,0,0
dien_luc_chieu_sang,0,0,0,0,19,0,0,0,0,1,0
do_xe_can_tro,1,0,0,0,0,13,0,0,0,2,0
duong_cau_ha_tang_hu_hong,0,0,3,1,0,0,12,0,0,2,2
khac,1,1,0,0,0,1,2,0,0,1,0
rac_thai_ve_sinh_moi_truong,0,0,1,0,0,0,4,0,9,2,0
to_chuc_giao_thong,0,1,0,1,0,1,7,0,0,6,0
via_he_long_duong,0,0,1,0,0,2,0,0,0,0,14
